Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
106,A.J. Lawson,SG,23,DAL,10,0,30,4,9,0.444,2,6,0.333,2,3,0.667,0.556,1,2,0.5,1,2,3,0,0,1,0,1,11
107,Kawhi Leonard,SF,32,LAC,2,2,59,11,24,0.458,0,5,0,11,19,0.579,0.458,2,3,0.667,3,13,16,4,4,1,4,3,24
108,Caris LeVert,SG,29,CLE,11,1,278,44,102,0.431,6,33,0.182,38,69,0.551,0.461,17,26,0.654,8,32,40,25,9,6,14,14,111
109,E.J. Liddell,PF,23,NOP,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
110,Damian Lillard,PG,33,MIL,4,4,156,34,81,0.42,20,48,0.417,14,33,0.424,0.543,37,38,0.974,2,11,13,20,4,0,9,8,125
111,Nassir Little,SF,23,PHO,4,0,14,3,5,0.6,1,3,0.333,2,2,1,0.7,0,0,,0,1,1,0,0,0,0,2,7
112,Dereck Lively II,C,19,DAL,21,0,462,64,95,0.674,1,1,1,63,94,0.67,0.679,36,61,0.59,57,99,156,27,9,20,21,48,165
113,Chris Livingston,SF,20,MIL,2,0,6,1,1,1,0,0,,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,2
114,Brook Lopez,C,35,MIL,6,6,200,44,75,0.587,10,23,0.435,34,52,0.654,0.653,8,15,0.533,11,15,26,11,0,8,9,10,106
115,Kevin Love,PF,35,MIA,5,0,32,4,9,0.444,1,4,0.25,3,5,0.6,0.5,0,0,,1,13,14,4,0,0,2,2,9
116,Kyle Lowry,PG,37,PHI,6,6,175,11,32,0.344,8,24,0.333,3,8,0.375,0.469,12,15,0.8,6,15,21,24,6,4,4,23,42
117,Terance Mann,SG,27,LAC,6,6,187,19,46,0.413,10,22,0.455,9,24,0.375,0.522,8,8,1,17,13,30,11,0,0,5,19,56
118,Naji Marshall,SF,26,NOP,4,0,84,12,28,0.429,6,15,0.4,6,13,0.462,0.536,6,6,1,3,8,11,5,2,2,2,9,36
119,Caleb Martin,SF,28,MIA,5,5,176,21,45,0.467,11,25,0.44,10,20,0.5,0.589,5,5,1,5,13,18,7,3,0,3,14,58
120,Tyrese Maxey,PG,23,PHI,6,6,267,66,138,0.478,22,55,0.4,44,83,0.53,0.558,25,28,0.893,1,30,31,41,5,2,13,16,179
121,Miles McBride,PG,23,NYK,13,2,347,54,124,0.435,25,68,0.368,29,56,0.518,0.536,10,12,0.833,7,22,29,25,7,2,11,30,143
122,CJ McCollum,PG,32,NOP,4,4,148,31,74,0.419,7,29,0.241,24,45,0.533,0.466,2,2,1,2,17,19,19,7,3,16,14,71
123,T.J. McConnell,PG,31,IND,17,0,348,90,185,0.486,7,26,0.269,83,159,0.522,0.505,13,15,0.867,11,41,52,86,15,2,21,26,200
124,Jaden McDaniels,SF,23,MIN,16,16,537,72,140,0.514,24,56,0.429,48,84,0.571,0.6,27,35,0.771,28,33,61,18,14,18,17,54,195
125,Doug McDermott,SF,32,IND,10,0,64,5,11,0.455,3,8,0.375,2,3,0.667,0.591,0,0,,2,1,3,7,0,2,1,5,13
126,Jordan McLaughlin,PG,27,MIN,6,0,30,2,9,0.222,0,5,0,2,4,0.5,0.222,0,2,0,0,4,4,2,0,0,2,1,4
127,De'Anthony Melton,SG,25,PHI,1,0,7,0,2,0,0,2,0,0,0,,0,0,0,,0,1,1,1,0,0,0,1,0
128,Sam Merrill,SG,27,CLE,10,0,125,10,29,0.345,10,27,0.37,0,2,0,0.517,3,3,1,2,10,12,9,0,0,0,9,33
129,Khris Middleton,SF,32,MIL,6,6,230,55,114,0.482,11,31,0.355,44,83,0.53,0.531,27,30,0.9,12,43,55,28,3,1,14,25,148
130,Leonard Miller,SF,20,MIN,3,0,7,0,1,0,0,1,0,0,0,,0,0,0,,1,3,4,0,0,0,0,0,0
131,Patty Mills,PG,35,MIA,3,0,52,6,17,0.353,3,11,0.273,3,6,0.5,0.441,3,4,0.75,1,0,1,3,1,0,1,2,18
132,Shake Milton,SG,27,NYK,4,0,22,0,6,0,0,2,0,0,4,0,0,5,6,0.833,0,1,1,2,1,0,0,0,5
133,Josh Minott,SF,21,MIN,5,0,18,2,9,0.222,2,5,0.4,0,4,0,0.333,0,0,,1,4,5,3,0,0,0,2,6
134,Donovan Mitchell,SG,27,CLE,10,10,382,107,225,0.476,29,82,0.354,78,143,0.545,0.54,53,65,0.815,6,48,54,47,13,3,28,29,296
135,Evan Mobley,PF,22,CLE,12,12,422,81,146,0.555,5,18,0.278,76,128,0.594,0.572,25,36,0.694,30,81,111,28,10,26,22,34,192
136,Wendell Moore Jr.,SG,22,MIN,6,0,18,3,7,0.429,1,4,0.25,2,3,0.667,0.5,0,0,,0,2,2,2,1,0,1,3,7
137,Marcus Morris,PF,34,CLE,9,1,138,22,48,0.458,9,23,0.391,13,25,0.52,0.552,2,3,0.667,2,23,25,3,4,0,3,8,55
138,Markieff Morris,PF,34,DAL,1,0,12,1,5,0.2,1,3,0.333,0,2,0,0.3,0,0,,0,4,4,0,0,0,1,1,3
139,Monte Morris,PG,28,MIN,9,0,67,9,30,0.3,1,14,0.071,8,16,0.5,0.317,2,2,1,1,5,6,9,2,1,0,6,21
140,Trey Murphy III,SF,23,NOP,4,4,168,18,48,0.375,10,30,0.333,8,18,0.444,0.479,0,0,,3,23,26,9,5,6,8,12,46
141,Jamal Murray,PG,26,DEN,12,12,462,100,249,0.402,23,73,0.315,77,176,0.438,0.448,24,26,0.923,9,43,52,67,10,6,31,28,247
142,Svi Mykhailiuk,SF,26,BOS,8,0,32,3,12,0.25,2,9,0.222,1,3,0.333,0.333,0,0,,1,4,5,1,1,0,2,3,8
143,Larry Nance Jr.,C,31,NOP,4,0,84,10,17,0.588,1,4,0.25,9,13,0.692,0.618,4,6,0.667,15,18,33,7,2,0,7,9,25
144,Andrew Nembhard,PG,24,IND,17,17,554,102,182,0.56,29,60,0.483,73,122,0.598,0.64,20,26,0.769,14,42,56,94,6,4,23,56,253
145,Aaron Nesmith,SF,24,IND,17,17,559,61,141,0.433,22,79,0.278,39,62,0.629,0.511,34,37,0.919,19,65,84,37,11,9,23,66,178
146,Georges Niang,PF,30,CLE,10,0,121,9,41,0.22,3,23,0.13,6,18,0.333,0.256,7,8,0.875,3,9,12,4,4,2,7,18,28
147,Zeke Nnaji,PF,23,DEN,3,0,14,2,3,0.667,0,0,,2,3,0.667,0.667,1,2,0.5,2,0,2,0,0,1,2,1,5
148,Jusuf Nurkić,C,29,PHO,4,4,104,13,26,0.5,0,2,0,13,24,0.542,0.5,5,11,0.455,13,20,33,11,6,6,6,15,31
149,Royce O'Neale,SF,30,PHO,4,2,104,7,22,0.318,6,18,0.333,1,4,0.25,0.455,0,0,,5,14,19,4,1,0,2,11,20
150,Chuma Okeke,SF,25,ORL,2,0,10,2,3,0.667,1,2,0.5,1,1,1,0.833,1,1,1,0,0,0,1,0,0,0,0,6
151,Josh Okogie,SG,25,PHO,4,0,29,5,9,0.556,1,3,0.333,4,6,0.667,0.611,3,6,0.5,0,4,4,2,2,0,2,7,14
152,Isaac Okoro,SF,23,CLE,12,7,263,25,70,0.357,9,35,0.257,16,35,0.457,0.421,7,9,0.778,5,16,21,13,11,4,11,30,66
153,Kelly Oubre Jr.,SF,28,PHI,6,6,224,31,64,0.484,9,23,0.391,22,41,0.537,0.555,8,11,0.727,9,15,24,10,11,7,8,24,79
154,Cameron Payne,PG,29,PHI,5,0,61,10,25,0.4,8,18,0.444,2,7,0.286,0.56,0,0,,0,6,6,7,1,4,3,10,28
155,Jalen Pickett,SG,24,DEN,3,0,11,2,3,0.667,0,1,0,2,2,1,0.667,0,0,,0,1,1,1,0,1,0,1,4
156,Mason Plumlee,C,33,LAC,6,0,66,7,18,0.389,0,0,,7,18,0.389,0.389,5,8,0.625,7,13,20,4,3,2,2,13,19
157,Michael Porter Jr.,SF,25,DEN,12,12,443,68,146,0.466,33,81,0.407,35,65,0.538,0.579,20,26,0.769,8,74,82,13,11,10,18,27,189
158,Bobby Portis,PF,28,MIL,6,6,187,44,91,0.484,3,12,0.25,41,79,0.519,0.5,8,13,0.615,16,52,68,6,3,1,9,13,99
159,Kristaps Porziņģis,C,28,BOS,7,4,165,28,60,0.467,10,29,0.345,18,31,0.581,0.55,20,22,0.909,4,27,31,8,5,11,5,15,86
160,Dwight Powell,C,32,DAL,13,0,44,1,3,0.333,0,0,,1,3,0.333,0.333,4,6,0.667,3,9,12,3,1,0,3,9,6
161,Norman Powell,SG,30,LAC,6,0,179,26,61,0.426,13,29,0.448,13,32,0.406,0.533,12,15,0.8,3,14,17,2,3,0,7,20,77
162,Taurean Prince,PF,29,LAL,5,0,111,12,29,0.414,5,17,0.294,7,12,0.583,0.5,8,8,1,1,11,12,3,1,2,1,9,37
163,Payton Pritchard,PG,26,BOS,19,0,355,44,105,0.419,23,60,0.383,21,45,0.467,0.529,11,12,0.917,14,23,37,40,4,0,14,22,122
164,Olivier-Maxence Prosper,PF,21,DAL,3,0,9,0,2,0,0,0,,0,2,0,0,0,0,,0,3,3,1,0,0,0,0,0
165,Neemias Queta,C,24,BOS,3,0,13,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,1,2,3,0,0,1,0,0,4
